"gene","score","rank"
"Slc15a4",1.0498535214987,292
"Slc2a8",1.0498535214987,293
"Atp1a2",1.04722373389217,294
"Phtf2",1.04681828374292,295
"Atg9a",1.04629819622379,296
"Epn1",1.04629819622379,297
"Tmem9b",1.04629819622379,298
"Slc24a4",1.04443497104073,299
"Paqr7",1.04168686263871,300
"Paqr8",1.04168686263871,301
"Rnaset2a",1.04168686263871,302
"Rnf103",1.04168686263871,303
"B4galnt4",1.03918472825873,304
"Cyp46a1",1.02868615741509,305
"Plxdc1",1.02752417075602,306
"Pomgnt2",1.02752417075602,307
"Abca2",1.02629640936912,308
"Spock1",1.02629640936912,309
"Tspan3",1.02629640936912,310
"Slc39a3",1.02497735974888,311
"Scube1",1.0241015313511,312
"Asah1",1.02405877153091,313
"Bcan",1.02122128510137,314
"Il15ra",1.02122128510137,315
"Sgk1",1.02122128510137,316
"Acsl3",1.01569642450613,317
"Atp6v0e",1.01569642450613,318
"Ppp1r1b",1.01568823275133,319
"Grn",1.01434168384027,320
"Ctsz",1.01188569206258,321
"Galntl6",1.00969235252207,322
"Gatm",1.00969235252207,323
"Lrrc8a",1.00748049892662,324
"Sec61a2",1.0062492869066,325
"Cldn10",1.00243762424036,326
"Dusp3",0.998025898061111,327
"Cbx2",0.991813763587467,328
"Herpud1",0.988976457035112,329
"Spint1",0.988604145964866,330
"Itprid1",0.982360971570538,331
"Cntn1",0.977227960520441,332
"Nkain4",0.977227960520441,333
"Gm2a",0.971793682184945,334
"Cx3cr1",0.971575154365469,335
"Mia3",0.970446613636952,336
"Ostm1",0.966576713459914,337
"Enpp4",0.965397332294659,338
"Ntn1",0.964955152044486,339
"Armh4",0.962210241117743,340
"Pcdhga9",0.961438070374017,341
"Lamc2",0.961393697489482,342
"Krt80",0.957166412722254,343
"Frzb",0.953843214960337,344
"Os9",0.952965079975991,345
"Pcdhb17",0.951657413531139,346
"Slc24a2",0.950793808138721,347
"Tmem94",0.949758131733194,348
"Prrt3",0.94272611929372,349
"Alg5",0.941966343789313,350
"Slc19a1",0.938877753071519,351
"Dcbld1",0.935447076461199,352
"Tmem68",0.933412084854865,353
"Tmem175",0.928821601782074,354
"Cln6",0.92860611807056,355
"Slitrk5",0.924557139761953,356
"Slc35f3",0.921294480795344,357
"Sppl2b",0.918542265512083,358
"Ttyh1",0.918542265512083,359
"Sema5b",0.918235252505557,360
"Wipf1",0.917216251420995,361
"Frat1",0.915737653311045,362
"Galnt6",0.913919230629056,363
"Kcnk13",0.909660114184487,364
"Dhrs7",0.909346265159752,365
"Islr",0.9034297688152,366
"Kazald1",0.9034297688152,367
"Nexn",0.9034297688152,368
"Slc7a6",0.9034297688152,369
"Olfm2",0.90140456996354,370
"Cep72",0.895588832065288,371
"Ctsl",0.883240114043902,372
"Gm32974",0.883240114043902,373
"Tmem33",0.883240114043902,374
"Tmx1",0.883240114043902,375
"Tspan2",0.883240114043902,376
"Vtn",0.882581243423934,377
"Kirrel2",0.881244372418053,378
"Ndfip2",0.881244372418053,379
"Atp11b",0.879493939405508,380
"Atp1b1",0.879493939405508,381
"Cpe",0.879493939405508,382
"Ginm1",0.879493939405508,383
"Tprn",0.879493939405508,384
"Lmbrd1",0.869678213243407,385
"Gm13584",0.866324199323327,386
"Snx22",0.866324199323327,387
"Unc93b1",0.866324199323327,388
"Slc40a1",0.865451646222416,389
"Scamp2",0.865180163706055,390
"Aplp1",0.862182322268006,391
"Lrrc4c",0.860073244828494,392
"Matn4",0.858934001800804,393
"Scamp5",0.858934001800804,394
"Sema4c",0.858934001800804,395
"Slc38a2",0.854851496435528,396
"Mertk",0.854566656073156,397
"Mppe1",0.854566656073156,398
"Extl2",0.849611035814855,399
"Rpe65",0.846334892887888,400
"Tmem125",0.845386608760055,401
"Man2b2",0.842994183313612,402
"Wsb1",0.839558205340422,403
"Hhatl",0.838892803673775,404
"Tmem25",0.838892803673775,405
"Astn1",0.837828859268744,406
"Dolk",0.837828859268744,407
