"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Evi2a",123.839877882635,1.89599197469093,0.555733636668914,3.411691950222,0.000645610281961539,0.0294998765006924
"Ctss",251.734725857871,1.862480812861,0.482464075865737,3.86035128008019,0.000113224135925315,0.00859645674426897
"Ermn",446.513298505398,1.84711229930056,0.533461756665679,3.46250181239917,0.000535178310129969,0.0261671706746366
"Gpr37",237.61261466191,1.82496166110629,0.46687214349885,3.90891100811798,9.2713106479982e-05,0.0076161537142818
"Tmem88b",303.024677331476,1.79726171037869,0.541413122488756,3.31957545121381,0.000901544384789803,0.0372332877377613
"Scn4b",862.491239514425,1.79106502286491,0.385900446774984,4.64126185349888,3.46287962201821e-06,0.000491108201488677
"Aspa",240.663693355956,1.79101747918206,0.539295505559583,3.32103171771044,0.000896853445525141,0.0371415918638552
"Pmp22",184.241938499949,1.7849273348935,0.510697701018242,3.49507611123894,0.000473926587854612,0.024482949811747
"Prkch",109.964112408193,1.76799488164437,0.474382097588833,3.72694267054058,0.000193816521557258,0.0130656671236334
"Znrf3",134.047033018485,1.75023532458632,0.421716173303362,4.15026843973396,3.32085577995701e-05,0.0034429258579375
"Erdr1x",98.8509656743856,1.69201035101747,0.485294628916135,3.48656311073633,0.000489269926122418,0.0249566655138085
"Morf4l1-ps1",512.601778046431,1.68335920848872,0.466170049745021,3.61104109843492,0.00030497032494888,0.017769840678126
"Mbp",10474.1444146471,1.67025359306736,0.410578013130594,4.06805415694799,4.74073645086782e-05,0.00456777756320371
"Obscn",232.683415911799,1.63053681122671,0.459908063569045,3.54535382261659,0.000392086391984189,0.0212022832039508
"Il33",858.477702412855,1.62190338402041,0.46848350368439,3.46202880414133,0.000536119774348971,0.0261671706746366
"S1pr5",148.799717618477,1.61628395944649,0.465773332651789,3.47010841141226,0.000520248333002167,0.0259133934085407
"Drd5",100.553761555672,1.61611676378789,0.409057583204105,3.95082949233947,7.78807965641979e-05,0.00669018294142621
"Hexb",433.078543105793,1.60913344778668,0.391052464014725,4.11487868217622,3.87383104864147e-05,0.00388235347694848
"Mobp",2061.98578867552,1.5883242489772,0.433913088896053,3.66046632291771,0.000251756643406284,0.0153847870744987
"Cd4",101.873049892284,1.55517466737273,0.444402315265801,3.49947471907874,0.000466175808452848,0.0242492073649539
"Ifngr1",161.463620181601,1.54252096778491,0.406909239771234,3.79082315420539,0.000150148837443343,0.0110106706013941
"Htra1",635.607477228748,1.53380753342656,0.39139633854199,3.91880910061708,8.89875576632934e-05,0.00743194419084606
