"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm33887",5361.87087586579,-4.717959107688,0.464138140326083,-10.1649890361808,2.84153993842242e-24,2.37315943857246e-21
"Gm53778",291.751430866302,-4.49187132253848,0.446368049347504,-10.0631560191296,8.03794387630093e-24,6.35970580486484e-21
"Tbx21",112.33458110033,-7.30632559710259,0.74889423971112,-9.75615141588076,1.73619156772564e-22,1.30500839188098e-19
"Ppm1j",122.048730172682,-4.0119973234261,0.431235364657454,-9.30349793230195,1.35899564804786e-20,9.72846741766829e-18
"Rps2-ps10",157.417054941825,-3.9926594775922,0.435348286687582,-9.17118454277378,4.67849385673871e-20,3.19689991583423e-17
"Gm57791",82.8048500423397,-5.5749022898417,0.609090078921072,-9.15283712996434,5.54575563798197e-20,3.62475410894708e-17
"Ms4a15",186.142711998863,-11.223713720523,1.23985985483292,-9.05240513818833,1.39853327574471e-19,8.76006280594595e-17
"Eomes",134.580816042842,-8.26630730432725,0.938903572041926,-8.80421328715333,1.31773591893808e-18,7.92380962775844e-16
"Gm15725",132.348087778395,-10.7311015031911,1.28505843397195,-8.35067201576397,6.78756615619073e-17,3.92451853946212e-14
"Actc1",76.5878448660464,5.41672048007817,0.660238999339678,8.2041813426586,2.32167443264154e-16,1.29265673132964e-13
"Ighg1",56.4582259797344,-6.29755005824382,0.845071254812578,-7.45209356297477,9.18705321587462e-14,4.76237831014631e-11
"Klhl30",95.1067192815779,-3.99662918613566,0.536298030039526,-7.45225408685745,9.17587865210226e-14,4.76237831014631e-11
"Gm15459",329.776830537378,-2.41428415144105,0.325633683268871,-7.41411062641086,1.22443683584467e-13,6.13565298441765e-11
"Gm5559",183.750007698505,-2.68803197974806,0.36453328430638,-7.37389998518995,1.65707522863597e-13,8.03574577809177e-11
"Gm39743",54.825245350835,-6.01962261010417,0.823763775073009,-7.3074621539053,2.72234965409964e-13,1.27890882344e-10
"Tph1",99.5932719269003,3.44607015821286,0.474001165342304,7.27017233327739,3.59029171968534e-13,1.63554107339484e-10
"Mir6236",42.6904647498509,-5.9182608486239,0.818226731915905,-7.23303287191082,4.72325013234457e-13,2.088371154104e-10
"Cdhr1",332.523664591685,-3.15485670307793,0.437296348119831,-7.21445929434887,5.41487015820147e-13,2.3257640882355e-10
"Lbhd2",186.992312748572,-3.39576947370824,0.47296874989732,-7.1796909932114,6.98691540975697e-13,2.91761942652435e-10
"Gm40814",72.0949710754944,-4.98205970613393,0.697627695626843,-7.14143050421382,9.23645711336537e-13,3.75274756176274e-10
"Tcrb",1314.10546784912,-2.38893044618952,0.339053488496929,-7.04588074518854,1.84292044300374e-12,7.29069026833558e-10
"LOC118567843",273.258568166083,-7.06347485668566,1.03910804233189,-6.79763274744206,1.06352140673384e-11,4.09946597626405e-09
"Gm53410",576.586361954449,-6.01474015522366,0.895814760003249,-6.71426775241106,1.89012960780823e-11,7.1035795985453e-09
"Tgtp1",72.5279113157678,-4.55360041773547,0.678688092730036,-6.70941551282935,1.95405516255839e-11,7.16471006310738e-09
"Ush1g",135.097136126648,-2.34488196344919,0.356347688172563,-6.58032040413763,4.69435555275605e-11,1.68024397677575e-08
"Myl7",38.210824198186,8.45677971636608,1.30268079626916,6.49182803691129,8.48010231938073e-11,2.96468321319187e-08
"Th",814.22509838092,-1.81286864278712,0.279815620838703,-6.47879713560427,9.24567108535852e-11,3.15886757786806e-08
