"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gng12",2030.37416582757,-0.892827919647285,0.31683266571639,-2.81797938236107,0.00483269129606104,0.0212395227177966
"Prps1l3",511.906260164533,-0.893264804203343,0.227343077025901,-3.92914891400707,8.52470390884949e-05,0.000819834200504078
"Ephx1",129.816914506934,-0.893497236487388,0.32001629363344,-2.79203670020263,0.00523774150288082,0.0225641964027174
"Pcmtd2",2132.17323432862,-0.893516284318219,0.209077668304665,-4.27360937953546,1.92333865959928e-05,0.000243201964179296
"Csgalnact2",143.228903898087,-0.893759150389469,0.346081118156354,-2.58251347299937,0.00980835324011968,0.0367032095348081
"Tgfb3",274.299396159673,-0.894138979355552,0.297768858049622,-3.00279547435598,0.0026751214687068,0.0132363882420664
"Zfp646",351.314991728078,-0.894463025479228,0.250902418114151,-3.5649836785243,0.000363878831786245,0.00267034089452514
"Arhgap26",3964.69276089586,-0.89446878663059,0.226411417802528,-3.95063462484357,7.7944239564483e-05,0.000764780121971041
"Mmp16",225.360831218652,-0.894531979571387,0.301106313400501,-2.97081774695826,0.00297007981727887,0.0143738849919984
"Cyp11a1",230.488701643517,-0.894540318767732,0.349696898209537,-2.5580447620434,0.0105262541875144,0.0387942567234646
"Lrrc59",6316.70293060219,-0.895314822146942,0.270464200648665,-3.31028956882157,0.000931995002050518,0.00567278319319404
"Cdc16",1737.29095270825,-0.895746435291756,0.207469792688907,-4.31747881791588,1.57821548822013e-05,0.000206695318779797
"Zfp280b",1065.19818075139,-0.896746687826819,0.230065749503252,-3.89778439321384,9.70767863212149e-05,0.00091019110337533
"Ephx2",509.822838440025,-0.897141307624473,0.354808667955063,-2.52852139378426,0.0114544105314253,0.0415022081531768
"Dis3",224.994955051354,-0.897237763267889,0.31175076087786,-2.87806118176377,0.00400127529036603,0.0182641013102031
"Slc4a10",1201.73459830082,-0.897837908804466,0.234710842902539,-3.82529370054405,0.000130616274438582,0.00116239198733198
"Rasgef1b",2392.34348486957,-0.897853423292057,0.238413186137045,-3.76595538963165,0.000165913416688284,0.0014161087190292
"Sox8",1001.8250314277,-0.898093660660024,0.202155988290509,-4.44257757712038,8.88875690465931e-06,0.000129136272941772
