"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ash2l",1399.14632150399,-0.59363456438573,0.198325747500434,-2.99322993543453,0.00276041692924042,0.0135413010147821
"Zfp248",535.27689329115,-0.59393936313384,0.222734566594056,-2.66657920329143,0.00766275483047195,0.0303785362268024
"Cbll1",1131.96104146677,-0.595384964539276,0.198842792467537,-2.99424966402279,0.00275120718777286,0.01351050486261
"Arhgef9",8601.19476728236,-0.595496837780163,0.189135536441187,-3.14851904081673,0.00164100032270584,0.00892223790015978
"Pcyox1",1122.06044539725,-0.596063740709974,0.222204979770974,-2.68249497074429,0.007307525054773,0.0293355535469802
"Ogdh",13950.1379238891,-0.596176235664342,0.235150609923232,-2.5352952980176,0.0112352571291386,0.0408503545387456
"Akap10",1235.00532926745,-0.596435056035904,0.225125915148047,-2.64933984007872,0.0080649188214471,0.0316404310618382
"Flot2",4641.63546741862,-0.596654845705651,0.190202585215776,-3.13694393285335,0.00170718770263229,0.0092249545571735
"Srp54c",1997.66658182504,-0.597178807589222,0.203565584504694,-2.93359414874695,0.00335062017502144,0.0158279925374755
"Atcay",4832.74358193687,-0.597618289670559,0.213355850479528,-2.80104008550682,0.00509381912334663,0.0220949698968443
"Dclk1",22679.3275603886,-0.598055185620499,0.186420580851333,-3.20809635336045,0.00133616725089936,0.00753449866479362
"Pkm",58668.9353999041,-0.598319823821892,0.225274706688554,-2.6559565102401,0.00790838125629904,0.0311646650661396
"Stag2",624.544730500767,-0.599084791507604,0.2354591555527,-2.54432574558995,0.0109488925833804,0.0400278083201606
"Cct7",11102.7399668764,-0.599602996919396,0.211441013310199,-2.83579324338432,0.00457120284614026,0.0202921421852007
"Nap1l2",3757.37334906298,-0.600888579635902,0.201146201934893,-2.98732252389432,0.00281432645891013,0.0137530292992023
"Phf24",8147.59348033104,-0.600940175943869,0.170427752970776,-3.52606993561027,0.000421775574486274,0.00300565117643871
"Bop1",1732.01340366856,-0.601211972222183,0.22907216277723,-2.62455273889764,0.00867628547285099,0.0333764815296204
"Ubxn2b",1812.07600588563,-0.602134231821457,0.217027946615504,-2.77445481658739,0.00552943143872505,0.0235439679910793
"Spata2",3566.43012016148,-0.602737684522167,0.209520813791368,-2.8767437163658,0.00401801781324873,0.0183127013321063
"Fam124a",1450.94556978541,-0.603152045223608,0.218870711586383,-2.75574580468963,0.00585584863659745,0.0246060302710397
"Armh3",508.643533329888,-0.603206781994456,0.232380645116429,-2.59577032197425,0.00943791300183217,0.0356670010348485
"Mmd2",2925.22431752283,-0.603354091019322,0.233505127486477,-2.58390082271005,0.00976898812421159,0.0365969121347112
"Mrps30",916.717609336528,-0.603363745710606,0.243695581921889,-2.47589119569677,0.0132904073724738,0.0463867331666591
"Mtmr14",612.006389413162,-0.604719689977762,0.24524115384526,-2.46581652588098,0.0136701335662405,0.0473927409259322
"Gpatch1",802.347563879275,-0.604777829929546,0.200481567367269,-3.0166256073888,0.00255605294672843,0.0127947442071825
