"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm6361",1367.24382716763,1.86628001592127,0.20589213600161,9.06435793111922,1.2534025596651e-19,1.10756548536995e-16
"Gm54248",46587.7827812164,-10.7083963955379,1.18521099321307,-9.03501271660313,1.63983363018724e-19,1.3685322662596e-16
"Foxo6",362.360543240402,2.8843287153427,0.322761859348192,8.93639887057138,4.0205874808164e-19,3.17880342825389e-16
"Basp1",8233.16366810495,2.51352873421942,0.282288879127739,8.90410115335087,5.38203579184275e-19,4.04244708325309e-16
"Srgap3",2187.43041182736,-1.6976737044967,0.190989570702797,-8.88882936513054,6.17560826837854e-19,4.41761844798011e-16
"Gm12715",425.476355436094,-2.24182749111252,0.267590915372644,-8.37781614518031,5.39187833983796e-17,3.68167256459299e-14
"Kctd2",1564.63733878637,2.12982158967228,0.25488592050966,8.35597974738491,6.48918435666834e-17,4.23828380025529e-14
"Eid2",788.574263998802,2.52794163919441,0.302822658864724,8.3479276242789,6.94711217788256e-17,4.34831329733966e-14
"Gm14494",878.474390493301,2.5823891501859,0.310574386881068,8.31488126280936,9.18441769256207e-17,5.51873290310669e-14
"Gm53666",9533.28093360349,-16.7801592142261,2.03002565633031,-8.26598381251975,1.38547353816404e-16,8.00483980396161e-14
"Gm46892",136.494530609819,10.4151266465396,1.26359714388724,8.24244237724313,1.68730384569699e-16,9.38765865557786e-14
"Gm26917",1537.14021118914,-2.86663709637635,0.348263705049459,-8.23122551909118,1.85307721887467e-16,9.59893999377077e-14
"Spry2",1245.5470486589,1.99395967751834,0.242174077079112,8.23358016501067,1.81699689588344e-16,9.59893999377077e-14
"Bri3",818.68260964151,2.12080187546648,0.2583628928864,8.20861638361891,2.23751860176739e-16,1.12040014785832e-13
"Kcnmb4",1351.90484930382,2.10254745577838,0.257089610985795,8.17826689968641,2.87955395005795e-16,1.39537611089582e-13
"Ap2m1-ps",725.588241668272,-2.65386652501556,0.325159471086227,-8.16173834995505,3.30236955566292e-16,1.55025610828651e-13
"Pabpn1",2248.9631549897,2.0097659040837,0.248510124019084,8.08725967208226,6.10220779788089e-16,2.77779895575051e-13
"Gm4202",78.182106068035,-3.69474296208291,0.457479740539457,-8.07629854324497,6.67623143797826e-16,2.94971613709734e-13
"Gm53410",2591.69394441882,-11.6852704670049,1.44954884983221,-8.06131540055201,7.54778077132523e-16,3.23950750705279e-13
"LOC118567843",1215.02893970582,-9.94910037905663,1.24164875372873,-8.01281388893517,1.12113233007687e-15,4.67823607289299e-13
"Gm33887",20962.2626552341,-7.69503932672866,0.963335925015378,-7.98790860686091,1.37247134670645e-15,5.57223366762817e-13
"Cbarp",2917.99791547399,1.98347757389048,0.251749937431363,7.87876094082946,3.30643396874909e-15,1.30708555469865e-12
"Rps27a",7608.18755525486,1.63144303046245,0.207576158401281,7.85949139355679,3.85696321900759e-15,1.48562311476749e-12
"Gm41844",1460.41914182652,-9.15716528208483,1.16590810397212,-7.85410552588784,4.02635188068713e-15,1.51209644879205e-12
"Chmp4b",1506.112404706,2.23642891889144,0.285007381630734,7.84691577493611,4.26393402268615e-15,1.56226382655589e-12
"Pou3f1",872.805110874465,2.42397523704105,0.309328378387505,7.83625236610028,4.64192464888158e-15,1.66026171608331e-12
"Degs2",315.418855782215,2.44762794167393,0.313329106775222,7.81168390918057,5.64289346529413e-15,1.97133827059647e-12
"Otulin",297.309966196508,2.04218831099613,0.261923907131216,7.79687632703588,6.34583769841539e-15,2.16652667967264e-12
